Time;Frame;Speed;DistanceToOptimalPath;Position;Rotation;SteeringInput;UpcomingOperation;ThrottleInput;BrakeInput;TrackProgress
0;164;2,840524;1000;(0.005, 0.084, -54.282);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;165;2,834208;1000;(0.005, 0.084, -54.215);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;166;2,827939;1000;(0.005, 0.084, -54.150);(0.026, 0.064, 0.000);0;Left;0;2800;Unkown
0;167;2,821717;1000;(0.005, 0.084, -54.079);(0.025, 0.064, 0.000);0;Left;0;2800;Unkown
0;168;2,80941;1000;(0.005, 0.084, -54.002);(0.025, 0.064, 0.000);0;Left;0;2800;Unkown
0;169;2,803323;1000;(0.005, 0.084, -53.943);(0.025, 0.064, 0.000);0;Left;0;2800;Unkown
0;170;2,797279;1000;(0.005, 0.084, -53.879);(0.025, 0.064, 0.000);0;Left;0;2800;Unkown
0;171;2,791278;1000;(0.005, 0.084, -53.818);(0.024, 0.064, 0.000);0;Left;0;2800;Unkown
0;172;2,785319;1000;(0.005, 0.084, -53.753);(0.024, 0.064, 0.000);0;Left;0;2800;Unkown
0;173;2,779401;1000;(0.005, 0.084, -53.695);(0.024, 0.064, 0.000);0;Left;0;2800;Unkown
0;174;2,773522;1000;(0.005, 0.084, -53.638);(0.024, 0.064, 0.000);0;Left;0;2800;Unkown
0;175;2,761883;1000;(0.006, 0.084, -53.566);(0.024, 0.064, 0.000);0;Left;0;2800;Unkown
0;176;2,75612;1000;(0.006, 0.084, -53.480);(0.023, 0.064, 0.000);0;Left;0;2800;Unkown
0;177;2,750394;1000;(0.006, 0.084, -53.422);(0.023, 0.064, 0.000);0;Left;0;2800;Unkown
0;178;2,744705;1000;(0.006, 0.084, -53.362);(0.023, 0.064, 0.000);0;Left;0;2800;Unkown
0;179;2,739052;1000;(0.006, 0.084, -53.295);(0.023, 0.064, 0.000);0;Left;0;2800;Unkown
0;180;2,727849;1000;(0.006, 0.084, -53.232);(0.023, 0.064, 0.000);0;Left;0;2800;Unkown
0;181;2,7223;1000;(0.006, 0.084, -53.157);(0.022, 0.064, 0.000);0;Left;0;2800;Unkown
0;182;2,716783;1000;(0.006, 0.084, -53.091);(0.022, 0.064, 0.000);0;Left;0;2800;Unkown
0;183;2,705848;1000;(0.006, 0.084, -53.014);(0.022, 0.064, 0.000);0;Left;0;2800;Unkown
0;184;2,700427;1000;(0.006, 0.084, -52.936);(0.022, 0.064, 0.000);0;Left;0;2800;Unkown
0;185;2,695038;1000;(0.006, 0.084, -52.873);(0.022, 0.064, 0.000);0;Left;0;2800;Unkown
0;186;2,68435;1000;(0.006, 0.084, -52.798);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;187;2,679051;1000;(0.006, 0.084, -52.732);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;188;2,67378;1000;(0.007, 0.084, -52.669);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;189;2,668538;1000;(0.007, 0.084, -52.604);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;190;2,658137;1000;(0.007, 0.084, -52.532);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;191;2,652978;1000;(0.007, 0.084, -52.463);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;192;2,647845;1000;(0.007, 0.084, -52.389);(0.021, 0.064, 0.000);0;Left;0;2800;Unkown
0;193;2,637656;1000;(0.007, 0.084, -52.319);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
0;194;2,632601;1000;(0.007, 0.084, -52.252);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
0;195;2,627569;1000;(0.007, 0.084, -52.196);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
0;196;2,622563;1000;(0.007, 0.084, -52.138);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
0;197;2,61758;1000;(0.007, 0.084, -52.077);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
0;198;2,612622;1000;(0.007, 0.084, -52.014);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
0;199;2,602773;1000;(0.007, 0.084, -51.946);(0.020, 0.064, 0.000);0;Left;0;2800;Unkown
