Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;FocusName
422629;1000095929699999857;63853880426175;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422649;1000095929800041344;63853880426288;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422669;1000095929900081519;63853880426376;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422689;1000095930000117933;63853880426487;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422709;1000095930100160299;63853880426576;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422729;1000095930200199540;63853880426687;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422749;1000095930300237118;63853880426775;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422769;1000095930400279874;63853880426886;(-0.305, 0.826, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422789;1000095930500320737;63853880426976;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.004, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422809;1000095930600358469;63853880427087;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422829;1000095930700394511;63853880427176;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422849;1000095930800436517;63853880427287;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422869;1000095930900476454;63853880427376;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422889;1000095931000513850;63853880427486;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422909;1000095931100557314;63853880427597;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422929;1000095931200599501;63853880427688;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422949;1000095931300638528;63853880427776;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422969;1000095931400674660;63853880427889;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
422989;1000095931500716509;63853880427994;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423009;1000095931600755890;63853880428084;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423029;1000095931700792507;63853880428196;(-0.305, 0.826, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423048;1000095931795833189;63853880428287;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423068;1000095931895874129;63853880428375;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423088;1000095931995911611;63853880428486;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423108;1000095932095954974;63853880428574;(-0.305, 0.826, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423128;1000095932195995594;63853880428687;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423148;1000095932296033828;63853880428775;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423168;1000095932396069180;63853880428887;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423188;1000095932496112197;63853880428975;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423208;1000095932596152681;63853880429086;(-0.305, 0.827, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423228;1000095932696189342;63853880429176;(-0.305, 0.827, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423248;1000095932796231779;63853880429286;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423268;1000095932896272097;63853880429377;(-0.305, 0.827, 0.361);(0.037, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423288;1000095932996309641;63853880429486;(-0.305, 0.827, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423308;1000095933096345127;63853880429575;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423328;1000095933196386440;63853880429687;(-0.305, 0.826, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423348;1000095933296426640;63853880429776;(-0.305, 0.827, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423368;1000095933396462662;63853880429886;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423388;1000095933496506611;63853880429975;(-0.305, 0.827, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423408;1000095933596546170;63853880430087;(-0.305, 0.826, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423428;1000095933696583650;63853880430175;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423448;1000095933796618131;63853880430286;(-0.305, 0.826, 0.361);(0.036, -0.048, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423468;1000095933896659504;63853880430376;(-0.305, 0.826, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
423488;1000095933996697597;63853880430487;(-0.305, 0.827, 0.361);(0.036, -0.047, -0.005, 0.998);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;NULL
