Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2002200;1000010070505632704;63851478356893;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002220;1000010070605678851;63851478356994;(-0.498, 0.827, 0.227);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002240;1000010070705724654;63851478357094;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002260;1000010070805764218;63851478357193;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002280;1000010070905810839;63851478357293;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002300;1000010071005859228;63851478357394;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002320;1000010071105902476;63851478357494;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002340;1000010071205806867;63851478357594;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002360;1000010071305859427;63851478357694;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002380;1000010071405914336;63851478357793;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002400;1000010071505957900;63851478357893;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002420;1000010071606000291;63851478357994;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002440;1000010071706052025;63851478358096;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002460;1000010071806106208;63851478358193;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002480;1000010071906146888;63851478358293;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002500;1000010072006187672;63851478358395;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002519;1000010072101233954;63851478358495;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002539;1000010072201286513;63851478358593;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002559;1000010072301263546;63851478358693;(-0.498, 0.828, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
2002579;1000010072401311738;63851478358793;(-0.498, 0.827, 0.228);(-0.013, 0.872, -0.015, -0.490);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
